delivery_id,ship_date,region,carrier,route_type,distance_miles,promised_days,actual_days,late_delivery,delay_days
80001,2025-10-20,South,FedEx,Urban,542.4,2,1,0,0
80002,2025-02-07,Northeast,USPS,Suburban,72.2,2,2,0,0
80003,2025-08-20,West,UPS,Suburban,357.8,3,5,1,2
80004,2025-12-21,Midwest,UPS,Urban,227.9,2,4,1,2
80005,2025-06-17,South,FedEx,Suburban,478.3,3,4,1,1
80006,2025-10-12,Midwest,DHL,Suburban,638.7,2,4,1,2
80007,2025-04-13,South,UPS,Suburban,739.2,5,5,0,0
80008,2025-05-25,South,FedEx,Rural,771.3,3,4,1,1
80009,2025-08-31,West,FedEx,Urban,284.2,3,3,0,0
80010,2025-05-28,Northeast,USPS,Rural,685.4,2,4,1,2
80011,2025-06-02,Northeast,UPS,Rural,475.6,5,9,1,4
80012,2025-11-12,Northeast,USPS,Urban,555.3,1,2,1,1
80013,2025-11-15,West,DHL,Rural,681.6,2,2,0,0
80014,2025-10-22,West,DHL,Suburban,108.4,1,1,0,0
80015,2025-05-06,Northeast,USPS,Rural,758.2,5,5,0,0
80016,2025-07-11,Midwest,USPS,Suburban,440.2,5,5,0,0
80017,2025-03-24,Midwest,UPS,Urban,272.1,5,4,0,0
80018,2025-01-21,West,UPS,Suburban,274.3,3,4,1,1
80019,2025-10-15,Midwest,UPS,Urban,602.0,1,1,0,0
80020,2025-10-11,Northeast,DHL,Urban,544.5,5,6,1,1
80021,2025-12-25,South,USPS,Suburban,584.9,2,3,1,1
80022,2025-09-25,Midwest,FedEx,Rural,206.1,2,2,0,0
80023,2025-05-01,Northeast,USPS,Suburban,140.3,2,3,1,1
80024,2025-04-21,Northeast,FedEx,Suburban,578.9,2,3,1,1
80025,2025-03-20,Northeast,UPS,Urban,242.3,3,4,1,1
80026,2025-12-14,Midwest,UPS,Suburban,181.8,2,3,1,1
80027,2025-03-26,South,USPS,Suburban,175.6,2,1,0,0
80028,2025-03-21,Midwest,FedEx,Urban,123.0,3,4,1,1
80029,2025-05-31,Northeast,DHL,Urban,344.3,2,2,0,0
80030,2025-09-01,Northeast,UPS,Suburban,212.5,1,2,1,1
80031,2025-08-06,Northeast,UPS,Urban,715.6,5,4,0,0
80032,2025-01-15,West,USPS,Urban,552.9,2,1,0,0
80033,2025-04-11,Midwest,USPS,Rural,596.4,3,2,0,0
80034,2025-09-25,South,DHL,Rural,325.9,2,1,0,0
80035,2025-02-04,Midwest,USPS,Suburban,482.2,1,1,0,0
80036,2025-12-17,Northeast,DHL,Suburban,403.1,3,5,1,2
80037,2025-10-10,Northeast,FedEx,Urban,138.1,2,3,1,1
80038,2025-05-05,West,DHL,Urban,43.0,2,2,0,0
80039,2025-08-12,Northeast,FedEx,Rural,548.4,1,2,1,1
80040,2025-06-10,Midwest,UPS,Suburban,101.3,1,1,0,0
80041,2025-01-13,Midwest,USPS,Suburban,50.6,2,3,1,1
